Window,Return,Min weight,Max weight
window 0,0.0520842,0.002743,0.101264
window 1,0.0345076,0.000260504,0.0976917
window 2,0.0548075,0.00313627,0.103561
window 3,0.0205476,0.00313627,0.103561
window 4,-0.00818719,0.00313627,0.103561
window 5,0.0593399,0.00313627,0.103561
window 6,0.0189368,0.00313627,0.103561
window 7,0.0261808,0.00313627,0.103561
window 8,0.00872296,0.00313627,0.103561
window 9,0.0244943,0.0038896,0.151327
window 10,0.01267,0.00654578,0.146998
window 11,0.0173755,0.000499726,0.269712
window 12,0.0241518,0.00461535,0.224587
window 13,-0.0775163,0.000882672,0.185718
window 14,-0.0836728,0.0024795,0.251518
window 15,0.125055,0.00243696,0.237934
window 16,0.0788184,0.00243696,0.237934
window 17,0.0103933,0.00243696,0.237934
window 18,0.0707738,0.00243696,0.237934
window 19,0.0157446,0.00243696,0.237934
window 20,-0.00837374,0.00243696,0.237934
window 21,-0.0131754,0.00243696,0.237934
window 22,0.0653046,0.00243696,0.237934
window 23,0.0172022,0.00243696,0.237934
window 24,-0.0205647,0.0022367,0.237879
window 25,-0.0499095,0.0022367,0.237879
window 26,0.0462977,0.000723682,0.140979
window 27,0.0358129,0.000723682,0.140979
window 28,0.000856463,0.000723682,0.140979
window 29,0.0186309,0.000723682,0.140979
window 30,0.0288074,0.000723682,0.140979
window 31,0.00477444,0.000723682,0.140979
window 32,-0.0154857,0.000723682,0.140979
window 33,0.0371923,0.000723682,0.140979
window 34,-0.00258677,0.000723682,0.140979
window 35,0.0920228,0.000723682,0.140979
window 36,-0.0944054,0.000723682,0.140979
window 37,-0.0221847,0.00075137,0.157488
window 38,0.0775928,0.00075137,0.157488
window 39,-0.0176119,0.00075137,0.157488
window 40,0.0186325,0.00447991,0.15877
window 41,-0.0405161,7.6095e-05,0.129103
window 42,0.0524611,0.0012495,0.144688
window 43,-0.0119844,0.0012495,0.144688
window 44,-0.0807219,0.00390027,0.158441
window 45,0.102808,0.00218572,0.244073
window 46,0.0494714,0.00218572,0.244073
window 47,-0.0440064,0.00218572,0.244073
window 48,-0.000124663,0.00578532,0.252522
window 49,-0.0138107,0.00578532,0.252522
window 50,0.0528987,0.00173729,0.222688
window 51,0.0129856,0.00173729,0.222688
window 52,-0.0216933,0.00173729,0.222688
window 53,0.00243242,0.00173729,0.222688
window 54,-0.000778603,0.00173729,0.222688
window 55,-0.0414291,0.00173729,0.222688
window 56,-0.0526341,0.00348427,0.16647
window 57,-0.00746413,0.000380053,0.233444
window 58,0.0359155,0.000380053,0.233444
window 59,0.0541004,0.000380053,0.233444
window 60,0.00645517,0.000380053,0.233444
window 61,0.0336728,0.000380053,0.233444
window 62,0.0503395,0.000380053,0.233444
