Window,Return,Omega,Min weight,Max weight
window 0,-0.020181,268.872,0.00774603,0.138361
window 1,0.0288609,275.659,0.00817792,0.138192
window 2,0.0251814,275.323,0.00817792,0.138192
window 3,0.0310723,276.59,0.00817792,0.138192
window 4,-0.0318253,288.772,0.005,0.159568
window 5,0.0226903,331.644,0.00515441,0.171724
window 6,0.0219122,331.536,0.00515441,0.171724
window 7,0.00499837,301.362,0.00518684,0.175235
window 8,0.0774124,302.012,0.00518684,0.175235
window 9,0.0109974,304.22,0.00518684,0.175235
window 10,0.000578606,303.13,0.00518684,0.175235
window 11,0.0671036,302.4,0.00518684,0.175235
window 12,0.00815068,304.196,0.00518684,0.175235
window 13,0.0357864,302.6,0.00518684,0.175235
window 14,0.0264871,302.325,0.00518684,0.175235
window 15,0.0289609,303.585,0.00518684,0.175235
window 16,0.0144364,303.591,0.00518684,0.175235
window 17,-0.0110637,304.196,0.00518684,0.175235
window 18,-0.0420211,302.716,0.00518684,0.175235
window 19,0.012153,314.844,0.00542462,0.146552
window 20,-0.0145974,314.906,0.00543943,0.146555
window 21,0.0510381,314.299,0.00543943,0.146555
window 22,-0.00913214,315.844,0.00543943,0.146555
window 23,0.0296045,312.56,0.00543943,0.146555
window 24,0.0413679,313.47,0.00543943,0.146555
window 25,-0.00562225,314.851,0.00543943,0.146555
window 26,0.0171612,314.949,0.00543943,0.146555
window 27,0.0423412,315.087,0.00543943,0.146555
window 28,-0.0108054,316.033,0.00543943,0.146555
window 29,0.0567386,315.674,0.00543943,0.146555
window 30,0.0177738,310.466,0.00587253,0.14666
window 31,-0.00487453,311.205,0.00587253,0.14666
window 32,0.0227171,310.745,0.00587253,0.14666
window 33,-0.0355516,311.103,0.00587253,0.14666
window 34,0.00117765,307.053,0.005,0.138752
window 35,-0.0105763,306.623,0.005,0.138752
window 36,0.0458229,306.846,0.005,0.138752
window 37,0.0253231,304.979,0.005,0.13841
window 38,0.0387871,304.43,0.005,0.13841
window 39,-0.0157489,304.598,0.005,0.138197
window 40,-0.0154599,303.719,0.005,0.138197
window 41,0.0103218,302.718,0.005,0.138197
window 42,0.0472697,270.473,0.005,0.150845
window 43,-0.0308882,270.442,0.005,0.150845
window 44,0.00779564,290.912,0.005,0.151664
window 45,0.0259886,290.491,0.005,0.151664
window 46,0.0118716,294.606,0.00791319,0.151237
window 47,0.00700279,294.262,0.00791319,0.151237
window 48,-0.0161017,294.878,0.00791319,0.151237
window 49,0.0427121,295.214,0.00791319,0.151237
window 50,0.0219876,340.468,0.005,0.191062
window 51,0.013765,341.173,0.005,0.191062
window 52,0.00289581,341.595,0.005,0.191062
window 53,0.0173017,341.98,0.005,0.191062
window 54,-0.0204662,342.039,0.005,0.191062
window 55,0.0554059,340.348,0.005,0.191062
window 56,-0.0119256,342.652,0.005,0.191062
window 57,0.0599876,337.428,0.005,0.18729
window 58,0.0347803,339.067,0.005,0.18729
window 59,0.00829988,340.307,0.005,0.18729
window 60,0.00646577,340.118,0.005,0.18729
window 61,0.00315749,339.752,0.005,0.18729
window 62,0.00705029,339.543,0.005,0.18729
window 63,-0.011026,339.653,0.005,0.18729
window 64,0.00717286,338.119,0.005,0.18729
window 65,-0.0172232,337.642,0.005,0.18729
