Window,Return,Omega,Min weight,Max weight
window 0,0.0461105,130.554,0.000880814,0.123369
window 1,0.0342757,131.474,0.000880814,0.123369
window 2,0.0563176,132.246,0.00591616,0.128472
window 3,0.0187069,132.067,0.00882361,0.121653
window 4,-0.00965614,132.409,0.00591616,0.128472
window 5,0.0530014,131.932,0.00882361,0.121653
window 6,0.0160535,133.716,0.00709322,0.136225
window 7,0.0222912,133.971,0.00709322,0.136225
window 8,0.008641,133.765,0.00709322,0.136225
window 9,0.0279424,179.174,4.94E-05,0.146885
window 10,0.0140633,180.061,4.94E-05,0.146885
window 11,0.0173977,134.068,0.0034633,0.268274
window 12,0.0240662,149.724,0.000589863,0.232636
window 13,-0.0691659,152.3,0.00111367,0.227994
window 14,-0.09432,122.634,0.000761451,0.270543
window 15,0.133489,114.098,0.00131544,0.176784
window 16,0.0735771,115.627,0.00119427,0.169177
window 17,0.0122732,116.207,0.00438249,0.141921
window 18,0.0670442,115.464,0.0010507,0.147212
window 19,0.0267255,115.721,0.00365891,0.144046
window 20,-0.00430654,115.988,0.000349703,0.151459
window 21,-0.00863219,115.906,0.00365891,0.144046
window 22,0.0698018,115.85,0.000873757,0.147249
window 23,0.0217039,116.561,0.00365863,0.144047
window 24,-0.0115354,116.727,0.00352987,0.144386
window 25,-0.0368192,121.254,0.0033712,0.165324
window 26,0.0434701,140.494,0.00126831,0.147915
window 27,0.0340678,140.273,0.00126831,0.147915
window 28,0.00336845,136.606,0.000319756,0.148551
window 29,0.0221517,136.599,0.000319756,0.148551
window 30,0.0343,136.917,0.000319756,0.148551
window 31,0.000394689,137.766,0.000319756,0.148551
window 32,-0.0234263,138.076,0.000319756,0.148551
window 33,0.0358338,145.113,0.00165384,0.152539
window 34,-0.00797452,144.982,0.00160342,0.151568
window 35,0.0998216,144.423,0.000840271,0.151116
window 36,-0.101007,146.162,0.000840271,0.151116
window 37,-0.0228228,116.19,0.00233559,0.137046
window 38,0.0783596,115.533,0.00226195,0.137328
window 39,-0.0206369,114.275,0.00143507,0.13465
window 40,0.0178281,162.576,0.00314348,0.160102
window 41,-0.0442652,167.906,0.000304371,0.122658
window 42,0.0523415,167.892,0.000266536,0.150446
window 43,-0.012172,164.214,2.30E-05,0.148195
window 44,-0.0801946,154.501,0.000904878,0.15222
window 45,0.10234,150.706,0.00179833,0.216641
window 46,0.0449863,151.653,0.00179833,0.216641
window 47,-0.0488978,152.075,0.00179833,0.216641
window 48,0.00384506,166.399,0.000735871,0.242821
window 49,-0.0165669,167.024,0.000727383,0.244118
window 50,0.0530942,176.547,0.0032855,0.223204
window 51,0.019271,176.62,0.0032855,0.223204
window 52,-0.0263717,176.126,0.0032855,0.223204
window 53,0.00668566,177.456,0.00303859,0.223562
window 54,0.000912202,177.219,0.000199474,0.223883
window 55,-0.0361642,176.822,0.00322576,0.223998
window 56,-0.0552555,186.566,0.00197631,0.139942
window 57,-0.00874843,175.407,0.0005328,0.23328
window 58,0.0350991,174.626,0.0005328,0.23328
window 59,0.0560131,175.385,0.000443406,0.232899
window 60,0.00625743,176.426,0.000443406,0.232899
window 61,0.0306395,176.15,4.03E-05,0.235158
window 62,0.0512528,176.614,0.0005328,0.23328
,0.013283755,,2.30433E-05,
