Window,Return,Omega,Min weight,Max weight
window 0,0.0821968,4.06044,0.00083989,0.287719
window 1,0.035931,4.09124,0.00120359,0.26462
window 2,0.0380115,3.81805,0.00132865,0.294422
window 3,0.0218483,4.06284,0.00323387,0.281523
window 4,-0.0362575,4.07453,0.000842513,0.284581
window 5,0.0572863,3.80771,0.00287668,0.310837
window 6,0.0192055,3.83219,6.28596e-05,0.313029
window 7,0.00291566,3.8966,0.000160923,0.308154
window 8,-0.00381546,4.23813,0.00529852,0.244536
window 9,0.0417597,4.33845,0.000739744,0.262472
window 10,0.0516399,4.25197,0.00392826,0.234826
window 11,0.0321283,4.24527,0.00784153,0.231245
window 12,0.0104938,4.07682,0.000208915,0.293784
window 13,-0.0724496,4.36849,0.00144906,0.223448
window 14,-0.0818485,4.27774,0.0108254,0.221686
window 15,0.0708214,4.09314,0.00238588,0.246405
window 16,0.0624086,4.3784,0.000986753,0.207036
window 17,-0.00529229,4.58975,0.00421154,0.203531
window 18,0.0749915,4.36089,0.00293992,0.22893
window 19,0.174186,4.48833,0.00233862,0.157841
window 20,-0.0248605,4.55931,0.00261393,0.161778
window 21,-0.0444456,4.52212,0.00229594,0.16773
window 22,0.141871,4.44257,0.00055401,0.181002
window 23,0.0741186,4.51615,0.00206942,0.172874
window 24,0.00917468,4.57179,0.00204542,0.192972
window 25,-0.0179354,4.68125,0.000157336,0.182881
window 26,0.014648,4.73867,0.00868739,0.175171
window 27,0.0346315,4.74357,0.00399821,0.176239
window 28,-0.0180984,4.78073,0.0165698,0.19468
window 29,0.0294629,4.53842,0.0109166,0.207421
window 30,0.0353561,4.54004,0.0102236,0.204911
window 31,0.0157497,4.57821,0.00223279,0.204952
window 32,-0.028145,4.70082,0.0018646,0.174781
window 33,0.116108,4.72935,0.00325232,0.173582
window 34,-0.00129953,4.79912,0.00259215,0.178997
window 35,0.0729994,4.91978,0.00976839,0.193478
window 36,-0.0902902,4.92357,0.009815,0.2267
window 37,-0.0251723,4.88457,0.00451096,0.190312
window 38,0.0623529,4.72781,0.000861181,0.212436
window 39,-0.0963244,4.85372,0.0102034,0.190056
window 40,-0.0232983,4.49173,0.000464881,0.250524
window 41,-0.0899041,4.37146,0.000275803,0.250088
window 42,0.118269,4.38128,0.00289727,0.174905
window 43,-0.0564121,4.44201,0.0118914,0.176288
window 44,-0.0657694,4.3568,0.000747279,0.182955
window 45,0.0572653,4.36403,0.0124839,0.179535
window 46,0.045092,4.4098,0.0228555,0.154771
window 47,-0.068482,4.48165,0.0238049,0.160277
window 48,0.037166,4.4867,0.00504199,0.192903
window 49,-0.0158848,4.6254,0.000707307,0.230567
window 50,0.055392,4.62219,0.00499767,0.243982
window 51,0.00847083,4.54434,0.00304692,0.169923
window 52,0.0491023,4.72017,0.0132073,0.19704
window 53,0.0665093,4.85781,0.00101704,0.178696
window 54,0.0198668,4.9059,0.000122694,0.162517
window 55,0.00530433,4.87115,0.0127979,0.165213
window 56,-0.0476886,4.87725,0.0123654,0.208307
window 57,-0.00958072,4.83116,0.0134588,0.195299
window 58,0.0565281,4.93323,0.00121638,0.190262
window 59,0.0665435,4.98376,0.0206073,0.189499
window 60,0.0370479,5.02519,0.012843,0.190333
window 61,0.0741588,5.03142,0.0140329,0.177757
window 62,0.00562612,5.11987,0.0147145,0.169983
