Window,Return,Omega,Min weight,Max weight
window 0,-0.0176709,52.8094,0.00485211,0.322177
window 1,0.00939468,52.6824,0.00485211,0.322177
window 2,0.0410316,52.6366,0.00485211,0.322177
window 3,0.00491438,52.7946,0.00485211,0.322177
window 4,-0.0865145,34.2365,0.00360303,0.234331
window 5,-0.0456716,29.7395,0.000572467,0.248616
window 6,0.0602953,29.3505,0.0170448,0.273504
window 7,-0.0221473,32.3115,0.000713544,0.265037
window 8,0.0719858,32.3594,0.000347545,0.253091
window 9,0.0359046,27.8386,0.00276828,0.285241
window 10,0.00533379,27.7273,0.00276828,0.285241
window 11,0.0437669,28.8939,0.00307324,0.24196
window 12,0.0290617,28.9312,0.00307324,0.24196
window 13,0.0160944,28.7694,0.00307324,0.24196
window 14,0.00480463,28.5726,0.00307324,0.24196
window 15,0.0414845,28.5799,0.00306658,0.242645
window 16,-0.00698584,28.6686,0.00306658,0.242645
window 17,-0.0267077,28.7304,0.00307324,0.24196
window 18,-0.0195929,28.4543,0.00320832,0.241768
window 19,-0.0141214,30.5957,0.00269312,0.23117
window 20,-0.0242741,30.5171,0.00269312,0.23117
window 21,0.0666468,30.3972,0.00269312,0.23117
window 22,0.0198126,30.6599,0.00269312,0.23117
window 23,0.0360903,30.3966,0.000210721,0.230985
window 24,0.0195622,30.5026,0.000210721,0.230985
window 25,0.0294914,30.5916,0.000210721,0.230985
window 26,0.0201293,30.7611,0.000210721,0.230985
window 27,0.00179243,30.7688,0.000210721,0.230985
window 28,-0.0296624,34.2615,0.0123542,0.252019
window 29,0.0493296,34.26,0.0123542,0.252019
window 30,0.0443051,34.234,0.0123031,0.251748
window 31,0.015342,34.3925,0.0123031,0.251748
window 32,0.0298229,34.429,0.0123031,0.251748
window 33,-0.0520116,34.4793,0.0123031,0.251748
window 34,0.000329605,32.8786,0.00398553,0.301524
window 35,-0.0163331,32.8579,0.00398553,0.301524
window 36,0.056672,32.9231,9.99448e-05,0.298314
window 37,0.0157075,33.2166,0.0158708,0.310323
window 38,0.0394988,33.2551,0.00296639,0.304166
window 39,0.00899588,30.9597,0.000739921,0.288826
window 40,0.00415959,33.4595,0.00296639,0.304166
window 41,-0.0101692,33.4939,0.0158708,0.310323
window 42,0.0513634,32.8087,0.00156442,0.286707
window 43,-0.03187,30.6162,0.0120212,0.20723
window 44,0.0152933,30.6551,0.00484219,0.218676
window 45,0.0640128,30.4916,0.00484219,0.218676
window 46,0.0335217,31.9937,0.0135258,0.198696
window 47,0.0179162,32.119,0.0135258,0.198696
window 48,-0.0561912,30.7232,0.00484219,0.218676
window 49,0.0330261,29.3528,0.00728392,0.18447
window 50,0.00509953,31.2462,0.000941083,0.165553
window 51,0.0205117,31.2262,0.000941083,0.165553
window 52,0.00565797,31.3214,0.000941083,0.165553
window 53,0.00288213,31.4003,0.000941083,0.165553
window 54,0.00241419,31.2289,0.000941083,0.165553
window 55,0.0544049,31.0879,0.00345137,0.168692
window 56,-0.000289073,31.2645,0.00345137,0.168692
window 57,0.034091,34.6988,0.00185784,0.216791
window 58,0.0284275,34.8231,0.00321809,0.220686
window 59,-0.00874826,34.9732,0.00321809,0.220686
window 60,-0.0146852,34.7585,0.00321809,0.220686
window 61,0.0224432,34.5918,0.00321809,0.220686
window 62,-0.0246345,34.5832,0.00321809,0.220686
window 63,-0.0120424,34.4389,0.00321809,0.220686
window 64,-0.0102146,34.3002,0.00321809,0.220686
window 65,-0.0178427,34.1399,0.00321809,0.220686
